A,1C,"F0,1C"
B,32,"F0,32"
C,21,"F0,21"
D,23,"F0,23"
E,24,"F0,24"
F,2B,"F0,2B"
G,34,"F0,34"
H,33,"F0,33"
I,43,"F0,43"
J,3B,"F0,3B"
K,42,"F0,42"
L,4B,"F0,4B"
M,3A,"F0,3A"
N,31,"F0,31"
O,44,"F0,44"
P,4D,"F0,4D"
Q,15,"F0,15"
R,2D,"F0,2D"
S,1B,"F0,1B"
T,2C,"F0,2C"
U,3C,"F0,3C"
V,2A,"F0,2A"
W,1D,"F0,1D"
X,22,"F0,22"
Y,35,"F0,35"
Z,1A,"F0,1A"
0,45,"F0,45"
1,16,"F0,16"
2,1E,"F0,1E"
3,26,"F0,26"
4,25,"F0,25"
5,2E,"F0,2E"
6,36,"F0,36"
7,3D,"F0,3D"
8,3E,"F0,3E"
9,46,"F0,46"
`,0E,"F0,0E"
-,4E,"F0,4E"
=,55,"FO,55"
\,5D,"F0,5D"
[,54,"F0,54"
],5B,"F0,5B"
;,4C,"F0,4C"
',52,"F0,52"
",",41,"F0,41"
.,49,"F0,49"
/,4A,"F0,4A"
F1,05,"F0,05"
F2,06,"F0,06"
F3,04,"F0,04"
F4,0C,"F0,0C"
F5,03,"F0,03"
F6,0B,"F0,0B"
F7,83,"F0,83"
F8,0A,"F0,0A"
F9,01,"F0,01"
F10,09,"F0,09"
F11,78,"F0,78"
F12,07,"F0,07"
